State,Cluster_positiveIncrease,Cluster_hospitalizedIncrease,Cluster_deathIncrease
Alabama,11,6,10
Alaska,21,4,21
Arizona,12,6,10
Arkansas,10,7,12
California,9,2,11
Colorado,19,5,16
Connecticut,16,18,1
Delaware,13,1,19
District of Columbia,3,3,4
Florida,8,6,11
Georgia,9,8,10
Hawaii,1,19,20
Idaho,20,5,18
Illinois,19,1,14
Indiana,19,14,22
Iowa,22,12,15
Kansas,5,8,21
Kentucky,10,7,17
Louisiana,7,1,13
Maine,14,5,15
Maryland,13,5,1
Massachusetts,15,16,1
Michigan,15,1,14
Minnesota,22,5,16
Mississippi,7,10,12
Missouri,20,1,21
Montana,22,9,9
Nebraska,22,15,9
Nevada,8,2,11
New Hampshire,14,17,7
New Jersey,15,14,1
New Mexico,20,7,10
New York,17,1,3
North Carolina,12,1,18
North Dakota,4,9,8
Ohio,19,5,22
Oklahoma,11,8,10
Oregon,19,5,18
Pennsylvania,19,12,14
Rhode Island,15,16,2
South Carolina,12,6,10
South Dakota,4,9,8
Tennessee,11,8,10
Texas,2,3,5
Utah,21,4,18
Vermont,18,13,7
Virginia,13,5,23
Washington,16,15,19
West Virginia,10,1,17
Wisconsin,22,5,16
Wyoming,6,11,6
